score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 1768
# walltime = 410.787
# cputime = 9.274
# saturation radius = 1.18
190.842,-31.016,-33.761,-30.886
190.869,-31.021,-33.769,-30.889
190.884,-31.024,-33.774,-30.891
190.886,-31.024,-33.774,-30.894
190.898,-31.027,-33.778,-30.897
190.910,-31.029,-33.782,-30.899
190.928,-31.032,-33.788,-30.902
190.935,-31.034,-33.790,-30.905
190.944,-31.036,-33.793,-30.907
190.955,-31.038,-33.797,-30.910
190.966,-31.040,-33.800,-30.913
190.969,-31.040,-33.801,-30.915
190.979,-31.042,-33.804,-30.918
190.985,-31.043,-33.806,-30.921
190.985,-31.043,-33.806,-30.923
190.988,-31.044,-33.807,-30.926
190.993,-31.045,-33.809,-30.929
191.026,-31.051,-33.819,-30.931
191.046,-31.055,-33.826,-30.934
191.055,-31.057,-33.828,-30.937
191.059,-31.058,-33.830,-30.939
191.071,-31.060,-33.834,-30.942
191.105,-31.066,-33.844,-30.945
191.114,-31.068,-33.847,-30.947
191.163,-31.077,-33.863,-30.950
191.172,-31.079,-33.866,-30.953
191.177,-31.080,-33.867,-30.956
191.186,-31.082,-33.870,-30.958
191.203,-31.085,-33.876,-30.961
191.205,-31.085,-33.876,-30.964
191.226,-31.089,-33.883,-30.967
191.228,-31.090,-33.884,-30.969
191.235,-31.091,-33.886,-30.972
191.236,-31.091,-33.886,-30.975
191.237,-31.091,-33.886,-30.978
191.238,-31.092,-33.887,-30.980
191.253,-31.094,-33.892,-30.983
191.254,-31.095,-33.892,-30.986
191.259,-31.096,-33.893,-30.989
191.266,-31.097,-33.896,-30.992
191.276,-31.099,-33.899,-30.994
191.282,-31.100,-33.901,-30.997
191.299,-31.103,-33.906,-31.000
191.305,-31.104,-33.908,-31.003
191.306,-31.105,-33.909,-31.006
191.339,-31.111,-33.919,-31.008
191.359,-31.114,-33.925,-31.011
191.363,-31.115,-33.927,-31.014
191.385,-31.119,-33.934,-31.017
191.402,-31.123,-33.939,-31.020
191.404,-31.123,-33.940,-31.023
191.444,-31.131,-33.953,-31.026
191.446,-31.131,-33.953,-31.028
191.455,-31.133,-33.956,-31.031
191.456,-31.133,-33.956,-31.034
191.459,-31.133,-33.957,-31.037
191.465,-31.134,-33.959,-31.040
191.475,-31.136,-33.963,-31.043
191.488,-31.139,-33.967,-31.046
191.564,-31.153,-33.991,-31.049
191.584,-31.157,-33.997,-31.052
191.599,-31.160,-34.002,-31.055
191.601,-31.160,-34.003,-31.057
191.628,-31.165,-34.012,-31.060
191.652,-31.170,-34.019,-31.063
191.663,-31.172,-34.023,-31.066
191.670,-31.173,-34.025,-31.069
191.689,-31.177,-34.031,-31.072
191.734,-31.185,-34.045,-31.075
191.738,-31.186,-34.047,-31.078
191.757,-31.189,-34.053,-31.081
191.830,-31.203,-34.076,-31.084
191.856,-31.208,-34.085,-31.087
191.882,-31.212,-34.093,-31.090
191.898,-31.215,-34.098,-31.093
191.921,-31.219,-34.105,-31.096
191.951,-31.225,-34.115,-31.099
191.979,-31.230,-34.124,-31.102
191.988,-31.232,-34.127,-31.105
192.006,-31.235,-34.133,-31.108
192.012,-31.236,-34.135,-31.111
192.058,-31.245,-34.149,-31.114
192.078,-31.248,-34.156,-31.117
192.084,-31.250,-34.158,-31.120
192.095,-31.252,-34.161,-31.123
192.134,-31.259,-34.174,-31.127
192.136,-31.259,-34.174,-31.130
192.149,-31.261,-34.178,-31.133
192.162,-31.264,-34.182,-31.136
192.188,-31.269,-34.191,-31.139
192.194,-31.270,-34.193,-31.142
192.195,-31.270,-34.193,-31.145
192.232,-31.277,-34.205,-31.148
192.256,-31.281,-34.213,-31.151
192.293,-31.288,-34.225,-31.155
192.295,-31.288,-34.225,-31.158
192.304,-31.290,-34.228,-31.161
192.307,-31.290,-34.229,-31.164
192.309,-31.291,-34.230,-31.167
192.367,-31.301,-34.248,-31.170
192.370,-31.302,-34.249,-31.173
192.377,-31.303,-34.252,-31.177
192.395,-31.306,-34.257,-31.180
192.399,-31.307,-34.259,-31.183
192.443,-31.315,-34.273,-31.186
192.446,-31.316,-34.274,-31.189
192.455,-31.317,-34.277,-31.193
192.485,-31.323,-34.286,-31.196
192.486,-31.323,-34.287,-31.199
192.526,-31.330,-34.299,-31.202
192.530,-31.331,-34.301,-31.206
192.536,-31.332,-34.303,-31.209
192.560,-31.336,-34.310,-31.212
192.572,-31.339,-34.314,-31.215
192.579,-31.340,-34.316,-31.219
192.582,-31.340,-34.317,-31.222
192.589,-31.342,-34.320,-31.225
192.597,-31.343,-34.322,-31.229
192.599,-31.343,-34.323,-31.232
192.634,-31.350,-34.334,-31.235
192.648,-31.352,-34.339,-31.238
192.674,-31.357,-34.347,-31.242
192.680,-31.358,-34.349,-31.245
192.700,-31.362,-34.355,-31.248
192.716,-31.364,-34.361,-31.252
192.756,-31.372,-34.374,-31.255
192.779,-31.376,-34.381,-31.259
192.797,-31.379,-34.387,-31.262
192.807,-31.381,-34.390,-31.265
192.818,-31.383,-34.393,-31.269
192.821,-31.383,-34.394,-31.272
192.851,-31.389,-34.404,-31.275
192.862,-31.391,-34.408,-31.279
192.913,-31.400,-34.424,-31.282
192.926,-31.402,-34.428,-31.286
192.942,-31.405,-34.433,-31.289
193.001,-31.415,-34.452,-31.293
193.042,-31.423,-34.466,-31.296
193.051,-31.424,-34.468,-31.300
193.053,-31.425,-34.469,-31.303
193.058,-31.426,-34.471,-31.307
193.060,-31.426,-34.471,-31.310
193.062,-31.426,-34.472,-31.313
193.064,-31.427,-34.473,-31.317
193.082,-31.430,-34.478,-31.321
193.087,-31.431,-34.480,-31.324
193.106,-31.434,-34.486,-31.328
193.135,-31.439,-34.495,-31.331
193.138,-31.440,-34.497,-31.335
193.164,-31.444,-34.505,-31.338
193.187,-31.448,-34.512,-31.342
193.191,-31.449,-34.514,-31.345
193.210,-31.452,-34.520,-31.349
193.302,-31.469,-34.549,-31.353
193.317,-31.471,-34.554,-31.356
193.321,-31.472,-34.555,-31.360
193.345,-31.476,-34.563,-31.363
193.363,-31.479,-34.569,-31.367
193.384,-31.483,-34.576,-31.371
193.410,-31.488,-34.584,-31.374
193.463,-31.497,-34.601,-31.378
193.491,-31.502,-34.610,-31.382
193.494,-31.502,-34.611,-31.385
193.495,-31.502,-34.612,-31.389
193.498,-31.503,-34.613,-31.393
193.526,-31.508,-34.622,-31.396
193.533,-31.509,-34.624,-31.400
193.572,-31.516,-34.637,-31.404
193.586,-31.518,-34.641,-31.408
193.586,-31.518,-34.641,-31.411
193.598,-31.520,-34.645,-31.415
193.627,-31.525,-34.654,-31.419
193.655,-31.530,-34.663,-31.423
193.660,-31.531,-34.665,-31.426
193.665,-31.532,-34.666,-31.430
193.672,-31.533,-34.669,-31.434
193.694,-31.537,-34.676,-31.438
193.708,-31.540,-34.681,-31.442
193.754,-31.548,-34.695,-31.445
193.792,-31.554,-34.708,-31.449
193.831,-31.561,-34.720,-31.453
193.852,-31.564,-34.727,-31.457
193.894,-31.572,-34.741,-31.461
193.932,-31.578,-34.753,-31.465
193.972,-31.585,-34.766,-31.469
194.000,-31.590,-34.775,-31.473
194.055,-31.599,-34.793,-31.476
194.113,-31.609,-34.811,-31.480
194.124,-31.611,-34.815,-31.484
194.133,-31.612,-34.818,-31.488
