score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 48
# fft = 16
# satrat = 0.9
# radius = 1.1547005383792515
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 598
# walltime = 93660.339
# cputime = 7.447
# saturation radius = 1.1547005383792515
126.025,-40.342,-42.534,-40.393
126.047,-40.351,-42.548,-40.400
126.053,-40.353,-42.551,-40.408
126.069,-40.360,-42.561,-40.415
126.076,-40.363,-42.565,-40.423
126.102,-40.374,-42.581,-40.430
126.110,-40.378,-42.587,-40.438
126.114,-40.379,-42.589,-40.445
126.146,-40.393,-42.609,-40.453
126.152,-40.396,-42.612,-40.461
126.172,-40.404,-42.625,-40.469
126.177,-40.407,-42.628,-40.476
126.186,-40.410,-42.634,-40.484
126.199,-40.416,-42.642,-40.492
126.231,-40.430,-42.662,-40.500
126.243,-40.434,-42.669,-40.508
126.273,-40.447,-42.688,-40.516
126.304,-40.460,-42.707,-40.524
126.335,-40.473,-42.726,-40.532
126.342,-40.476,-42.730,-40.541
126.358,-40.483,-42.740,-40.549
126.430,-40.513,-42.785,-40.557
126.447,-40.520,-42.796,-40.565
126.456,-40.524,-42.801,-40.574
126.478,-40.533,-42.815,-40.582
126.549,-40.563,-42.859,-40.591
126.571,-40.572,-42.872,-40.599
126.604,-40.586,-42.893,-40.608
126.605,-40.586,-42.893,-40.616
126.641,-40.601,-42.916,-40.625
126.653,-40.606,-42.924,-40.634
126.667,-40.612,-42.932,-40.642
126.720,-40.633,-42.965,-40.651
126.734,-40.639,-42.974,-40.660
126.747,-40.645,-42.982,-40.669
126.796,-40.665,-43.012,-40.678
126.816,-40.673,-43.025,-40.687
126.828,-40.678,-43.033,-40.696
126.872,-40.696,-43.060,-40.705
126.907,-40.710,-43.082,-40.715
126.910,-40.711,-43.084,-40.724
126.936,-40.722,-43.100,-40.733
126.948,-40.727,-43.107,-40.743
126.985,-40.742,-43.130,-40.752
127.003,-40.749,-43.142,-40.762
127.029,-40.759,-43.158,-40.771
127.037,-40.763,-43.163,-40.781
127.046,-40.766,-43.168,-40.791
127.075,-40.778,-43.187,-40.800
127.082,-40.781,-43.191,-40.810
127.120,-40.796,-43.215,-40.820
127.160,-40.812,-43.240,-40.830
127.163,-40.814,-43.242,-40.840
127.210,-40.832,-43.271,-40.850
127.226,-40.839,-43.281,-40.860
127.232,-40.841,-43.285,-40.871
127.306,-40.870,-43.331,-40.881
127.341,-40.884,-43.353,-40.891
127.500,-40.947,-43.452,-40.902
127.503,-40.948,-43.454,-40.913
127.539,-40.963,-43.477,-40.923
127.545,-40.965,-43.480,-40.934
127.591,-40.983,-43.509,-40.945
127.593,-40.984,-43.511,-40.956
127.613,-40.991,-43.523,-40.967
127.617,-40.993,-43.526,-40.978
127.627,-40.997,-43.532,-40.989
127.635,-41.000,-43.537,-41.000
127.649,-41.005,-43.546,-41.011
127.675,-41.015,-43.562,-41.023
127.739,-41.040,-43.602,-41.034
127.750,-41.044,-43.609,-41.046
127.797,-41.063,-43.639,-41.057
127.840,-41.079,-43.665,-41.069
127.883,-41.095,-43.692,-41.081
128.016,-41.146,-43.776,-41.093
128.024,-41.149,-43.781,-41.105
128.031,-41.152,-43.785,-41.117
128.110,-41.182,-43.835,-41.130
128.212,-41.220,-43.900,-41.142
128.264,-41.239,-43.932,-41.155
128.478,-41.319,-44.067,-41.167
128.494,-41.325,-44.077,-41.180
128.663,-41.386,-44.183,-41.193
128.683,-41.393,-44.196,-41.206
128.742,-41.415,-44.233,-41.219
128.801,-41.436,-44.271,-41.232
128.803,-41.437,-44.272,-41.245
128.829,-41.446,-44.289,-41.259
128.892,-41.469,-44.328,-41.272
129.006,-41.509,-44.401,-41.286
129.029,-41.517,-44.415,-41.300
129.122,-41.550,-44.474,-41.313
129.124,-41.551,-44.476,-41.328
129.128,-41.552,-44.478,-41.342
129.185,-41.572,-44.514,-41.356
129.261,-41.599,-44.562,-41.371
129.265,-41.600,-44.565,-41.385
129.278,-41.605,-44.573,-41.400
129.286,-41.608,-44.578,-41.415
129.294,-41.610,-44.583,-41.430
129.342,-41.627,-44.614,-41.445
129.345,-41.628,-44.615,-41.461
129.403,-41.648,-44.652,-41.476
129.448,-41.664,-44.681,-41.492
129.540,-41.695,-44.740,-41.508
129.573,-41.706,-44.760,-41.524
129.584,-41.710,-44.768,-41.541
129.612,-41.719,-44.785,-41.557
129.623,-41.723,-44.792,-41.574
129.777,-41.775,-44.890,-41.591
129.782,-41.777,-44.893,-41.608
129.865,-41.805,-44.946,-41.625
129.924,-41.824,-44.984,-41.642
130.001,-41.850,-45.033,-41.660
130.080,-41.876,-45.084,-41.678
130.189,-41.911,-45.153,-41.696
130.256,-41.933,-45.196,-41.715
130.388,-41.976,-45.280,-41.733
130.485,-42.007,-45.342,-41.752
130.609,-42.046,-45.422,-41.771
130.722,-42.082,-45.494,-41.791
130.821,-42.113,-45.558,-41.810
130.828,-42.115,-45.562,-41.830
130.927,-42.146,-45.626,-41.850
131.138,-42.211,-45.762,-41.871
131.180,-42.224,-45.789,-41.891
131.240,-42.242,-45.827,-41.913
131.272,-42.252,-45.848,-41.934
131.295,-42.259,-45.862,-41.956
131.663,-42.369,-46.100,-41.978
131.834,-42.419,-46.211,-42.000
131.842,-42.421,-46.216,-42.023
131.892,-42.436,-46.248,-42.046
132.136,-42.506,-46.406,-42.069
132.219,-42.530,-46.460,-42.093
132.240,-42.536,-46.473,-42.117
132.282,-42.548,-46.501,-42.142
132.620,-42.642,-46.720,-42.167
132.726,-42.672,-46.789,-42.193
132.914,-42.723,-46.912,-42.219
133.658,-42.922,-47.398,-42.245
133.766,-42.950,-47.469,-42.272
133.879,-42.979,-47.543,-42.300
133.907,-42.987,-47.562,-42.328
133.928,-42.992,-47.575,-42.356
134.004,-43.012,-47.625,-42.385
134.055,-43.025,-47.659,-42.415
134.116,-43.041,-47.699,-42.445
134.155,-43.050,-47.724,-42.476
134.210,-43.064,-47.761,-42.508
134.318,-43.092,-47.832,-42.541
134.365,-43.104,-47.863,-42.574
134.384,-43.108,-47.875,-42.608
134.582,-43.158,-48.006,-42.642
134.687,-43.184,-48.075,-42.678
134.720,-43.192,-48.097,-42.715
134.724,-43.194,-48.100,-42.752
134.850,-43.225,-48.182,-42.791
134.955,-43.250,-48.252,-42.830
135.093,-43.284,-48.343,-42.871
135.358,-43.349,-48.519,-42.913
135.688,-43.427,-48.738,-42.956
136.652,-43.652,-49.381,-43.000
136.687,-43.661,-49.405,-43.046
137.362,-43.814,-49.858,-43.093
137.378,-43.817,-49.869,-43.142
137.560,-43.858,-49.992,-43.193
137.799,-43.911,-50.152,-43.245
138.377,-44.038,-50.543,-43.300
138.450,-44.054,-50.593,-43.356
138.547,-44.075,-50.659,-43.415
138.588,-44.084,-50.687,-43.476
138.768,-44.123,-50.809,-43.541
139.534,-44.287,-51.331,-43.608
139.560,-44.293,-51.348,-43.678
141.233,-44.643,-52.499,-43.752
141.269,-44.651,-52.523,-43.830
142.786,-44.961,-53.578,-43.913
144.513,-45.308,-54.792,-44.000
145.429,-45.490,-55.442,-44.093
145.441,-45.493,-55.450,-44.193
145.640,-45.532,-55.592,-44.300
146.347,-45.671,-56.097,-44.415
147.394,-45.877,-56.849,-44.541
147.573,-45.912,-56.978,-44.678
148.230,-46.040,-57.453,-44.830
148.314,-46.056,-57.514,-45.000
148.463,-46.085,-57.622,-45.193
155.615,-47.450,-62.935,-45.415
156.722,-47.658,-63.779,-45.678
158.097,-47.915,-64.836,-46.000
158.816,-48.049,-65.391,-46.415
159.998,-48.268,-66.311,-47.000
177.946,-51.507,-81.095,-48.000
